Team,Sport,Predicted_Gold,Predicted_Total,Predicted_Score,Diff_Gold,Diff_Total,Diff_Score
Australia,Shooting,5.211133303977304,18.11143104073661,85.56754762599158,5.211133303977304,17.11143104073661,83.56754762599158
Australia,Swimming,3.1754708302545716,8.231541821184772,46.08110900526365,2.1754708302545716,-11.768458178815228,-25.91889099473635
Australia,Tennis,1.9843889385657592,4.406339121983368,28.848445134077007,1.9843889385657592,2.4063391219833683,24.848445134077007
Brazil,Judo,1.8736378498468886,7.299096037282661,39.14291208650311,1.8736378498468886,4.299096037282661,30.14291208650311
Brazil,Volleyball,1.9843889385657592,4.406339121983368,28.848445134077007,1.9843889385657592,-7.593660878016632,-31.151554865922993
Canada,Fencing,1.98029506233093,8.52063381622752,38.0176628538173,1.98029506233093,7.5206338162275195,36.0176628538173
China,Shooting,13.976901071199073,40.80663488998797,249.86929039759744,10.976901071199073,34.80663488998797,213.86929039759744
China,Swimming,4.4052415593747,10.762759931141057,72.19584618262358,4.4052415593747,6.762759931141057,55.19584618262358
China,Badminton,1.8736378498468886,7.299096037282661,39.14291208650311,1.8736378498468886,5.299096037282661,35.14291208650311
China,Judo,13.976901071199073,40.80663488998797,249.86929039759744,12.976901071199073,37.80663488998797,235.86929039759744
China,Tennis,1.8736378498468886,7.299096037282661,39.14291208650311,0.8736378498468886,4.299096037282661,19.14291208650311
France,Judo,3.4736889196758596,9.668168705658681,60.29450617859804,3.4736889196758596,6.668168705658681,51.29450617859804
France,Volleyball,2.414200916883106,6.470832469851786,34.715062030209445,-9.585799083116894,-5.529167530148214,-85.28493796979055
Germany,Equestrian,1.0429777567187877,6.459372824190319,34.9076850906855,-4.957022243281212,-0.5406271758096812,-30.092314909314503
Indonesia,Badminton,1.9843889385657592,4.406339121983368,28.848445134077007,-0.015611061434240847,0.4063391219833683,1.8484451340770072
Italy,Fencing,1.98029506233093,5.2130006431505915,36.25729113860538,-20.01970493766907,-32.78699935684941,-221.74270886139462
Italy,Judo,5.211133303977304,12.218390918245461,79.10754762599157,5.211133303977304,11.218390918245461,74.10754762599157
Italy,Shooting,5.211133303977304,12.218390918245461,79.10754762599157,4.211133303977304,9.218390918245461,62.10754762599157
Italy,Volleyball,1.9843889385657592,4.406339121983368,28.848445134077007,1.9843889385657592,-7.593660878016632,4.848445134077007
Italy,Swimming,22.8544164986437,61.45307344447646,402.02890737009864,22.8544164986437,60.45307344447646,400.02890737009864
Italy,Tennis,1.9843889385657592,4.406339121983368,28.848445134077007,-0.015611061434240847,1.4063391219833683,6.848445134077007
Japan,Judo,3.2644507593432905,10.173682529796928,55.841378633753756,-0.7355492406567095,5.1736825297969276,13.841378633753756
Japan,Swimming,3.035989911642513,9.096073633117898,51.379493081641975,2.035989911642513,8.096073633117898,41.379493081641975
Japan,Fencing,1.98029506233093,6.49930698010432,35.10721247077937,1.98029506233093,5.49930698010432,30.107212470779373
Japan,Badminton,1.9843889385657592,4.406339121983368,28.848445134077007,-0.015611061434240847,1.4063391219833683,6.848445134077007
United States,Fencing,3.1754708302545716,8.231541821184772,46.08110900526365,3.1754708302545716,7.231541821184772,44.08110900526365
United States,Shooting,3.035989911642513,9.096073633117898,51.379493081641975,0.03598991164251286,3.096073633117898,12.379493081641975
United States,Swimming,4.4052415593747,24.710436043650606,94.07117276039583,-45.5947584406253,-38.2895639563494,-470.9288272396042
United States,Volleyball,4.218908520983072,9.668168705658681,57.88449082476768,-7.781091479016928,-14.331831294341319,-122.11550917523232
United States,Tennis,3.69685068287664,13.252606067718878,81.17896473815028,-0.3031493171233599,6.252606067718878,32.178964738150285
